|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
| 124 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            4.88978  |        0.00356328 |       0.00480772 |                 64 |                   16 |       1 |         0.198345  |
|  71 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            4.89761  |        0.0042109  |       0.0048873  |                 64 |                   16 |       2 |         0.198345  |
| 139 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            4.93585  |        0.00555476 |       0.00502014 |                 64 |                   16 |       4 |         0.198345  |
| 159 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            5.04921  |        0.00817046 |       0.00522757 |                 64 |                   16 |       8 |         0.198345  |
|  63 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            5.46711  |        0.00869408 |       0.00594072 |                 64 |                   16 |      16 |         0.198345  |
|  38 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            0.695834 |        0.00160164 |       0.00180134 |                  8 |                    8 |       1 |         0.122769  |
|  24 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            0.705077 |        0.0019999  |       0.00189454 |                  8 |                    8 |       2 |         0.122769  |
| 143 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            0.734511 |        0.00270373 |       0.00200403 |                  8 |                    8 |       4 |         0.122769  |
|  90 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            0.847937 |        0.00291219 |       0.00234191 |                  8 |                    8 |       8 |         0.122769  |
| 119 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            1.22632  |        0.00351819 |       0.00355795 |                  8 |                    8 |      16 |         0.176461  |
|  93 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            1.31626  |        0.00210244 |       0.00340221 |                 16 |                    8 |       1 |         0.198345  |
|  47 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            1.3267   |        0.0025005  |       0.00350961 |                 16 |                    8 |       2 |         0.198345  |
|  86 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            1.35825  |        0.00325521 |       0.00365937 |                 16 |                    8 |       4 |         0.198345  |
|  62 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            1.46184  |        0.00466054 |       0.00389189 |                 16 |                    8 |       8 |         0.198345  |
|  27 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            1.8732   |        0.00514206 |       0.00461744 |                 16 |                    8 |      16 |         0.198345  |
| 121 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            2.61096  |        0.0027803  |       0.00402312 |                 32 |                    8 |       1 |         0.198345  |
| 156 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            2.62704  |        0.00348571 |       0.00413226 |                 32 |                    8 |       2 |         0.198345  |
| 150 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            2.66221  |        0.00486419 |       0.004278   |                 32 |                    8 |       4 |         0.198345  |
| 111 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            2.77155  |        0.00755843 |       0.00450082 |                 32 |                    8 |       8 |         0.198345  |
| 161 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            3.1815   |        0.00811044 |       0.00524636 |                 32 |                    8 |      16 |         0.198345  |
|  83 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            5.1594   |        0.00453124 |       0.0069958  |                 64 |                    8 |       2 |         0.245104  |
| 163 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            5.17218  |        0.00369343 |       0.00540693 |                 64 |                    8 |       1 |         0.198345  |
|  36 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            5.20842  |        0.00587973 |       0.00716333 |                 64 |                    8 |       4 |         0.245104  |
| 154 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            5.33004  |        0.00863865 |       0.0074718  |                 64 |                    8 |       8 |         0.245104  |
| 140 |               163404 |        131004 |          32400 |                192 |           192 |              0 |          0.001175 |         0.001175 |          0        |               0 |            5.7539   |        0.0141042  |       0.00796793 |                 64 |                    8 |      16 |         0.245104  |
|  96 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            0.787472 |        0.00167604 |       0.00200929 |                  8 |                    4 |       1 |         0.122769  |
| 142 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            0.799291 |        0.00207228 |       0.00210646 |                  8 |                    4 |       2 |         0.122769  |
| 112 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            0.832396 |        0.00284811 |       0.00226215 |                  8 |                    4 |       4 |         0.122769  |
|  81 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            0.938728 |        0.00431678 |       0.00250016 |                  8 |                    4 |       8 |         0.122769  |
|  61 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            1.315    |        0.00492597 |       0.00369713 |                  8 |                    4 |      16 |         0.176461  |
|  19 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            1.47955  |        0.00240605 |       0.00364399 |                 16 |                    4 |       1 |         0.198345  |
|  57 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            1.49402  |        0.00312971 |       0.00375799 |                 16 |                    4 |       2 |         0.198345  |
|  79 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            1.5296   |        0.0045521  |       0.00391435 |                 16 |                    4 |       4 |         0.198345  |
|   4 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            1.63722  |        0.00732578 |       0.00415346 |                 16 |                    4 |       8 |         0.198345  |
| 153 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            2.04647  |        0.00791499 |       0.00491252 |                 16 |                    4 |      16 |         0.198345  |
|  34 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            2.90125  |        0.00291407 |       0.00463935 |                 32 |                    4 |       1 |         0.198345  |
| 127 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            2.91074  |        0.00386718 |       0.00632362 |                 32 |                    4 |       2 |         0.245104  |
| 113 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            2.9566   |        0.00525587 |       0.0065013  |                 32 |                    4 |       4 |         0.245104  |
|  44 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            3.08108  |        0.00813257 |       0.0068376  |                 32 |                    4 |       8 |         0.245104  |
| 110 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            3.49709  |        0.0137179  |       0.00735222 |                 32 |                    4 |      16 |         0.245104  |
|  21 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            5.72314  |        0.00448792 |       0.00785333 |                 64 |                    4 |       1 |         0.245104  |
|  75 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            5.75898  |        0.00576808 |       0.00799524 |                 64 |                    4 |       2 |         0.245104  |
|  33 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            5.82777  |        0.008386   |       0.00819574 |                 64 |                    4 |       4 |         0.245104  |
| 122 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            5.96519  |        0.0137332  |       0.00853059 |                 64 |                    4 |       8 |         0.245104  |
| 120 |               163404 |        131004 |          32400 |                384 |           384 |              0 |          0.00235  |         0.00235  |          0        |               0 |            6.40878  |        0.0245732  |       0.00905969 |                 64 |                    4 |      16 |         0.245104  |
|   3 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            0.954792 |        0.00198789 |       0.00225767 |                  8 |                    2 |       1 |         0.122769  |
|  28 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            0.970644 |        0.00271798 |       0.00236143 |                  8 |                    2 |       2 |         0.122769  |
| 141 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            1.00778  |        0.00417798 |       0.00252372 |                  8 |                    2 |       4 |         0.122769  |
|  45 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            1.12015  |        0.00708093 |       0.00277163 |                  8 |                    2 |       8 |         0.122769  |
|  15 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            1.4922   |        0.00776485 |       0.00399881 |                  8 |                    2 |      16 |         0.176461  |
| 103 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            1.77752  |        0.00253911 |       0.00427708 |                 16 |                    2 |       1 |         0.198345  |
|  85 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            1.8679   |        0.00345909 |       0.00399613 |                 16 |                    2 |       2 |         0.169342  |
|  10 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            1.9191   |        0.00490065 |       0.00418344 |                 16 |                    2 |       4 |         0.169342  |
|  48 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            2.04033  |        0.00783483 |       0.0045222  |                 16 |                    2 |       8 |         0.169342  |
|  30 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            2.39283  |        0.0134158  |       0.00545765 |                 16 |                    2 |      16 |         0.198345  |
| 133 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            3.48444  |        0.00379567 |       0.00718274 |                 32 |                    2 |       1 |         0.245104  |
|  32 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            3.53008  |        0.00514523 |       0.00735603 |                 32 |                    2 |       2 |         0.245104  |
|  52 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            3.59175  |        0.00782808 |       0.00756009 |                 32 |                    2 |       4 |         0.245104  |
| 157 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            3.73597  |        0.013392   |       0.00792936 |                 32 |                    2 |       8 |         0.245104  |
| 114 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            4.16775  |        0.0244507  |       0.00847036 |                 32 |                    2 |      16 |         0.245104  |
|  11 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            6.76967  |        0.00449887 |       0.00818244 |                 64 |                    2 |       1 |         0.245104  |
| 148 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            6.84903  |        0.00518068 |       0.00834443 |                 64 |                    2 |       2 |         0.245104  |
|  68 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            6.97991  |        0.006545   |       0.00856401 |                 64 |                    2 |       4 |         0.245104  |
|  20 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            7.27237  |        0.00934465 |       0.00896182 |                 64 |                    2 |       8 |         0.245104  |
| 130 |               163404 |        131004 |          32400 |                768 |           768 |              0 |          0.0047   |         0.0047   |          0        |               0 |            8.17846  |        0.015117   |       0.00974061 |                 64 |                    2 |      16 |         0.245104  |
| 123 |               163404 |        131004 |          32400 |               1536 |          1536 |              0 |          0.0094   |         0.0094   |          0        |               0 |            1.26052  |        0.00212453 |       0.00290773 |                  8 |                    1 |       1 |         0.126284  |
| 131 |               163404 |        131004 |          32400 |               1536 |          1536 |              0 |          0.0094   |         0.0094   |          0        |               0 |            1.31115  |        0.00327959 |       0.00285125 |                  8 |                    1 |       2 |         0.145337  |
|  42 |               163404 |        131004 |          32400 |               1536 |          1536 |              0 |          0.0094   |         0.0094   |          0        |               0 |            1.35888  |        0.00474916 |       0.00303652 |                  8 |                    1 |       4 |         0.145337  |
|  91 |               163404 |        131004 |          32400 |               1536 |          1536 |              0 |          0.0094   |         0.0094   |          0        |               0 |            1.46188  |        0.00737074 |       0.00357227 |                  8 |                    1 |       8 |         0.132039  |
| 145 |               163404 |        131004 |          32400 |               1536 |          1536 |              0 |          0.0094   |         0.0094   |          0        |               0 |            1.84644  |        0.0133976  |       0.00455713 |                  8 |                    1 |      16 |         0.176461  |
