|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
| 108 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |            9.44024  |        0.00663396 |       0.00808471 |                 64 |                    1 |       2 |         0.269384  |
| 107 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |            9.70512  |        0.00801381 |       0.00832202 |                 64 |                    1 |       4 |         0.269384  |
| 102 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |           10.2857   |        0.0108169  |       0.00876832 |                 64 |                    1 |       8 |         0.269384  |
| 137 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |           12.2651   |        0.0265777  |       0.00922345 |                 64 |                    1 |      16 |         0.267742  |
| 106 |               682572 |        544188 |         138384 |               6215 |          4047 |           2168 |          0.009105 |         0.005929 |          0.003176 |            2165 |            1.22337  |        0.00244952 |       0.00326834 |                 16 |                   32 |       4 |         0.198345  |
| 104 |               682572 |        544188 |         138384 |               6834 |          4252 |           2582 |          0.010012 |         0.006229 |          0.003783 |            2565 |            1.17038  |        0.00177693 |       0.00308752 |                 16 |                   64 |       1 |         0.198345  |
| 136 |               682572 |        544188 |         138384 |               6834 |          4252 |           2582 |          0.010012 |         0.006229 |          0.003783 |            2565 |            1.17925  |        0.00205069 |       0.00310965 |                 16 |                   64 |       2 |         0.198345  |
|  27 |               682572 |        544188 |         138384 |               7275 |          4901 |           2374 |          0.010658 |         0.00718  |          0.003478 |            2374 |            1.8732   |        0.00514206 |       0.00461744 |                 16 |                    8 |      16 |         0.198345  |
|  84 |               682572 |        544188 |         138384 |               7517 |          4311 |           3206 |          0.011013 |         0.006316 |          0.004697 |            3105 |            0.659658 |        0.00157105 |       0.0016993  |                  8 |                   16 |       1 |         0.122769  |
|   4 |               682572 |        544188 |         138384 |               8347 |          5519 |           2828 |          0.012229 |         0.008086 |          0.004143 |            2828 |            1.63722  |        0.00732578 |       0.00415346 |                 16 |                    4 |       8 |         0.198345  |
| 149 |               682572 |        544188 |         138384 |               8509 |          5101 |           3408 |          0.012466 |         0.007473 |          0.004993 |            3358 |            0.638728 |        0.00138642 |       0.00164656 |                  8 |                   32 |       1 |         0.122769  |
|  79 |               682572 |        544188 |         138384 |               8841 |          5915 |           2926 |          0.012952 |         0.008666 |          0.004287 |            2895 |            1.5296   |        0.0045521  |       0.00391435 |                 16 |                    4 |       4 |         0.198345  |
| 153 |               682572 |        544188 |         138384 |               8933 |          5865 |           3068 |          0.013087 |         0.008593 |          0.004495 |            3068 |            2.04647  |        0.00791499 |       0.00491252 |                 16 |                    4 |      16 |         0.198345  |
|   0 |               682572 |        544188 |         138384 |               9085 |          6207 |           2878 |          0.01331  |         0.009094 |          0.004216 |            2878 |            1.3301   |        0.00263949 |       0.00367359 |                 16 |                   32 |       8 |         0.198345  |
| 116 |               682572 |        544188 |         138384 |               9227 |          6357 |           2870 |          0.013518 |         0.009313 |          0.004205 |            2870 |            1.78649  |        0.00376725 |       0.00448155 |                 16 |                   16 |      16 |         0.198345  |
| 135 |               682572 |        544188 |         138384 |               9371 |          5635 |           3736 |          0.013729 |         0.008256 |          0.005473 |            3699 |            0.667987 |        0.00161649 |       0.00177993 |                  8 |                   16 |       2 |         0.122769  |
|  19 |               682572 |        544188 |         138384 |               9515 |          6537 |           2978 |          0.01394  |         0.009577 |          0.004363 |            2691 |            1.47955  |        0.00240605 |       0.00364399 |                 16 |                    4 |       1 |         0.198345  |
|  57 |               682572 |        544188 |         138384 |               9515 |          6537 |           2978 |          0.01394  |         0.009577 |          0.004363 |            2691 |            1.49402  |        0.00312971 |       0.00375799 |                 16 |                    4 |       2 |         0.198345  |
|  24 |               682572 |        544188 |         138384 |              10225 |          5911 |           4314 |          0.01498  |         0.00866  |          0.00632  |            4239 |            0.705077 |        0.0019999  |       0.00189454 |                  8 |                    8 |       2 |         0.122769  |
|  38 |               682572 |        544188 |         138384 |              10321 |          5701 |           4620 |          0.015121 |         0.008352 |          0.006769 |            4417 |            0.695834 |        0.00160164 |       0.00180134 |                  8 |                    8 |       1 |         0.122769  |
|  56 |               682572 |        544188 |         138384 |              10833 |          6989 |           3844 |          0.015871 |         0.010239 |          0.005632 |            3843 |            1.2015   |        0.00208355 |       0.00321395 |                 16 |                   64 |       4 |         0.198345  |
| 143 |               682572 |        544188 |         138384 |              10981 |          6691 |           4290 |          0.016088 |         0.009803 |          0.006285 |            4279 |            0.734511 |        0.00270373 |       0.00200403 |                  8 |                    8 |       4 |         0.122769  |
| 101 |               682572 |        544188 |         138384 |              11705 |          6929 |           4776 |          0.017148 |         0.010151 |          0.006997 |            4724 |            0.337694 |        0.00105559 |       0.00122224 |                  4 |                   16 |       1 |         0.100959  |
|  41 |               682572 |        544188 |         138384 |              11811 |          7163 |           4648 |          0.017304 |         0.010494 |          0.00681  |            4640 |            1.16675  |        0.00184958 |       0.00307175 |                 16 |                  128 |       2 |         0.198345  |
|  64 |               682572 |        544188 |         138384 |              11959 |          7693 |           4266 |          0.01752  |         0.011271 |          0.00625  |            4261 |            0.694171 |        0.00200804 |       0.00191667 |                  8 |                   16 |       4 |         0.122769  |
|  29 |               682572 |        544188 |         138384 |              12631 |          7083 |           5548 |          0.018505 |         0.010377 |          0.008128 |            5444 |            0.35748  |        0.00113625 |       0.00125344 |                  4 |                    8 |       1 |         0.100959  |
|   1 |               682572 |        544188 |         138384 |              13317 |          8261 |           5056 |          0.01951  |         0.012103 |          0.007407 |            5038 |            0.647748 |        0.00160144 |       0.00169547 |                  8 |                   32 |       2 |         0.122769  |
|   8 |               682572 |        544188 |         138384 |              13705 |          8377 |           5328 |          0.020078 |         0.012273 |          0.007806 |            5303 |            0.628186 |        0.00130576 |       0.00163184 |                  8 |                   64 |       1 |         0.122769  |
|  90 |               682572 |        544188 |         138384 |              14163 |          8973 |           5190 |          0.020749 |         0.013146 |          0.007604 |            5190 |            0.847937 |        0.00291219 |       0.00234191 |                  8 |                    8 |       8 |         0.122769  |
|  22 |               682572 |        544188 |         138384 |              14365 |          8445 |           5920 |          0.021045 |         0.012372 |          0.008673 |            5880 |            0.379481 |        0.00172488 |       0.00105965 |                  4 |                    8 |       2 |         0.0990866 |
|  30 |               682572 |        544188 |         138384 |              14967 |          9677 |           5290 |          0.021927 |         0.014177 |          0.00775  |            5290 |            2.39283  |        0.0134158  |       0.00545765 |                 16 |                    2 |      16 |         0.198345  |
|  48 |               682572 |        544188 |         138384 |              15085 |          9915 |           5170 |          0.0221   |         0.014526 |          0.007574 |            5170 |            2.04033  |        0.00783483 |       0.0045222  |                 16 |                    2 |       8 |         0.169342  |
| 112 |               682572 |        544188 |         138384 |              15429 |          8987 |           6442 |          0.022604 |         0.013166 |          0.009438 |            6420 |            0.832396 |        0.00284811 |       0.00226215 |                  8 |                    4 |       4 |         0.122769  |
| 162 |               682572 |        544188 |         138384 |              16035 |          9993 |           6042 |          0.023492 |         0.01464  |          0.008852 |            6022 |            0.345793 |        0.00129862 |       0.00124939 |                  4 |                   16 |       2 |         0.100959  |
| 142 |               682572 |        544188 |         138384 |              16167 |          9117 |           7050 |          0.023685 |         0.013357 |          0.010329 |            6900 |            0.799291 |        0.00207228 |       0.00210646 |                  8 |                    4 |       2 |         0.122769  |
|  10 |               682572 |        544188 |         138384 |              16657 |         11143 |           5514 |          0.024403 |         0.016325 |          0.008078 |            5451 |            1.9191   |        0.00490065 |       0.00418344 |                 16 |                    2 |       4 |         0.169342  |
|  81 |               682572 |        544188 |         138384 |              16673 |          9893 |           6780 |          0.024427 |         0.014494 |          0.009933 |            6780 |            0.938728 |        0.00431678 |       0.00250016 |                  8 |                    4 |       8 |         0.122769  |
|  96 |               682572 |        544188 |         138384 |              18249 |          9911 |           8338 |          0.026736 |         0.01452  |          0.012216 |            7932 |            0.787472 |        0.00167604 |       0.00200929 |                  8 |                    4 |       1 |         0.122769  |
| 103 |               682572 |        544188 |         138384 |              18378 |         12646 |           5732 |          0.026925 |         0.018527 |          0.008398 |            5157 |            1.77752  |        0.00253911 |       0.00427708 |                 16 |                    2 |       1 |         0.198345  |
|  85 |               682572 |        544188 |         138384 |              18378 |         12646 |           5732 |          0.026925 |         0.018527 |          0.008398 |            5157 |            1.8679   |        0.00345909 |       0.00399613 |                 16 |                    2 |       2 |         0.169342  |
|  87 |               682572 |        544188 |         138384 |              18449 |         11451 |           6998 |          0.027029 |         0.016776 |          0.010252 |            6990 |            0.405981 |        0.00180993 |       0.00115368 |                  4 |                    8 |       4 |         0.0990866 |
|   2 |               682572 |        544188 |         138384 |              18707 |         12509 |           6198 |          0.027407 |         0.018326 |          0.00908  |            6198 |            0.802464 |        0.00222154 |       0.00227444 |                  8 |                   16 |       8 |         0.122769  |
|  80 |               682572 |        544188 |         138384 |              19093 |         12685 |           6408 |          0.027972 |         0.018584 |          0.009388 |            6406 |            0.673926 |        0.00167185 |       0.00188464 |                  8 |                   32 |       4 |         0.122769  |
|   6 |               682572 |        544188 |         138384 |              19301 |         12105 |           7196 |          0.028277 |         0.017734 |          0.010542 |            7196 |            1.1905   |        0.00191222 |       0.00319841 |                 16 |                  128 |       4 |         0.198345  |
|  99 |               682572 |        544188 |         138384 |              19699 |         11007 |           8692 |          0.02886  |         0.016126 |          0.012734 |            8611 |            0.417805 |        0.00178965 |       0.00118842 |                  4 |                    4 |       2 |         0.0990866 |
